Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
621.357	438
621.384	422
621.411	446
621.439	449
621.466	445
621.494	452
621.521	440
621.548	451
621.576	431
621.603	423
621.631	449
621.658	432
621.685	439
621.713	447
621.74	448
621.768	437
621.795	436
621.822	445
621.85	437
621.877	425
621.905	419
621.932	433
621.959	437
621.987	455
622.014	445
622.041	417
622.069	433
622.096	427
622.124	449
622.151	443
622.178	448
622.206	437
622.233	436
622.261	425
622.288	429
622.315	449
622.343	437
622.37	429
622.397	422
622.425	446
622.452	448
622.48	435
622.507	434
622.534	446
622.562	433
622.589	441
622.616	430
622.644	430
622.671	449
622.698	415
622.726	431
622.753	435
622.781	436
622.808	427
622.835	418
622.863	433
622.89	442
622.917	434
622.945	417
622.972	435
622.999	449
623.027	429
623.054	449
623.082	440
623.109	430
623.136	444
623.164	438
623.191	437
623.218	448
623.246	447
623.273	425
623.3	428
623.328	431
623.355	441
623.382	428
623.41	427
623.437	419
623.464	441
623.492	431
623.519	425
623.546	437
623.574	430
623.601	446
623.628	433
623.656	429
623.683	422
623.71	433
623.738	441
623.765	428
623.792	438
623.82	437
623.847	422
623.874	433
623.902	457
623.929	446
623.956	449
623.984	446
624.011	431
624.038	430
624.066	446
624.093	447
624.12	430
624.148	415
624.175	427
624.202	430
624.23	428
624.257	454
624.284	439
624.312	440
624.339	462
624.366	448
624.394	433
624.421	429
624.448	433
624.476	439
624.503	446
624.53	437
624.558	445
624.585	441
624.612	437
624.639	437
624.667	435
624.694	432
624.721	446
624.749	438
624.776	445
624.803	420
624.831	428
624.858	421
624.885	458
624.912	430
624.94	431
624.967	427
624.994	459
625.022	442
625.049	445
625.076	473
625.104	441
625.131	425
625.158	456
625.185	432
625.213	440
625.24	432
625.267	443
625.295	429
625.322	436
625.349	437
625.376	437
625.404	434
625.431	426
625.458	441
625.486	434
625.513	430
625.54	437
625.567	425
625.595	434
625.622	436
625.649	437
625.677	432
625.704	441
625.731	439
625.758	464
625.786	449
625.813	435
625.84	431
625.868	439
625.895	428
625.922	437
625.949	428
625.977	431
626.004	428
626.031	443
626.058	447
626.086	417
626.113	432
626.14	449
626.167	429
626.195	418
626.222	428
626.249	449
626.277	451
626.304	443
626.331	415
626.358	438
626.386	433
626.413	411
626.44	438
626.467	445
626.495	424
626.522	448
626.549	429
626.576	427
626.604	448
626.631	447
626.658	435
626.685	446
626.713	423
626.74	429
626.767	431
626.794	440
626.822	440
626.849	451
626.876	419
626.903	457
626.931	422
626.958	442
626.985	433
627.012	446
627.039	438
627.067	450
627.094	448
627.121	441
627.148	431
627.176	435
627.203	453
627.23	436
627.257	451
627.285	447
627.312	439
627.339	454
627.366	459
627.394	433
627.421	444
627.448	448
627.475	443
627.502	431
627.53	430
627.557	413
627.584	454
627.611	450
627.639	427
627.666	439
627.693	415
627.72	425
627.747	443
627.775	415
627.802	435
627.829	444
627.856	437
627.883	428
627.911	444
627.938	429
627.965	441
627.992	434
628.02	435
628.047	439
628.074	429
628.101	435
628.128	448
628.156	422
628.183	460
628.21	438
628.237	432
628.264	432
628.292	439
628.319	437
628.346	429
628.373	436
628.4	453
628.428	429
628.455	450
628.482	431
628.509	437
628.536	442
628.564	419
628.591	448
628.618	438
628.645	435
628.672	430
628.699	431
628.727	431
628.754	449
628.781	424
628.808	431
628.835	430
628.863	414
628.89	445
628.917	458
628.944	429
628.971	458
628.999	423
629.026	435
629.053	423
629.08	448
629.107	433
629.134	441
629.162	438
629.189	436
629.216	448
629.243	430
629.27	435
629.297	461
629.325	438
629.352	442
629.379	435
629.406	430
629.433	435
629.46	449
629.488	451
629.515	426
629.542	438
629.569	427
629.596	430
629.623	425
629.651	430
629.678	435
629.705	429
629.732	441
629.759	446
629.786	443
629.814	430
629.841	427
629.868	434
629.895	438
629.922	430
629.949	433
629.976	437
630.004	453
630.031	433
630.058	427
630.085	435
630.112	435
630.139	454
630.166	424
630.194	426
630.221	433
630.248	442
630.275	423
630.302	436
630.329	426
630.356	434
630.384	444
630.411	435
630.438	443
630.465	428
630.492	431
630.519	453
630.546	433
630.574	424
630.601	456
630.628	435
630.655	449
630.682	427
630.709	441
630.736	451
630.763	445
630.791	441
630.818	440
630.845	420
630.872	451
630.899	428
630.926	466
630.953	436
630.98	435
631.008	434
631.035	419
631.062	442
