LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:30:15,0                 
Time,Ampl
-0.0010251391,-13.1195
-0.0010250991,-12.7995
-0.0010250591,-13.4395
-0.0010250191,-13.1195
-0.0010249791,-12.7995
-0.0010249391,-13.1195
-0.0010248991,-12.7995
-0.0010248591,-12.4795
-0.0010248191,-13.1195
-0.0010247791,-12.4795
-0.0010247391,-12.7995
-0.0010246991,-13.1195
-0.0010246591,-12.4795
-0.0010246191,-12.7995
-0.0010245791,-13.1195
-0.0010245391,-12.7995
-0.0010244991,-12.4795
-0.0010244591,-13.1195
-0.0010244191,-12.7995
-0.0010243791,-12.7995
-0.0010243391,-13.1195
-0.0010242991,-12.7995
-0.0010242591,-12.7995
-0.0010242191,-13.1195
-0.0010241791,-13.1195
-0.0010241391,-12.7995
-0.0010240991,-12.7995
-0.0010240591,-13.1195
-0.0010240191,-12.7995
-0.0010239791,-13.4395
-0.0010239391,-12.7995
-0.0010238991,-12.1595
-0.0010238591,-13.1195
-0.0010238191,-12.7995
-0.0010237791,-12.7995
-0.0010237391,-12.7995
-0.0010236991,-12.7995
-0.0010236591,-12.7995
-0.0010236191,-13.1195
-0.0010235791,-13.1195
-0.0010235391,-12.1595
-0.0010234991,-13.1195
-0.0010234591,-12.7995
-0.0010234191,-12.7995
-0.0010233791,-13.1195
-0.0010233391,-13.1195
-0.0010232991,-12.7995
-0.0010232591,-13.1195
-0.0010232191,-12.7995
-0.0010231791,-12.7995
-0.0010231391,-12.7995
-0.0010230991,-12.7995
-0.0010230591,-12.7995
-0.0010230191,-13.1195
-0.0010229791,-13.1195
-0.0010229391,-12.4795
-0.0010228991,-13.1195
-0.0010228591,-12.7995
-0.0010228191,-12.4795
-0.0010227791,-13.4395
-0.0010227391,-13.1195
-0.0010226991,-12.4795
-0.0010226591,-13.1195
-0.0010226191,-12.7995
-0.0010225791,-12.4795
-0.0010225391,-13.1195
-0.0010224991,-13.1195
